id code montant libelle_court libelle_long montant_cas montant_grille_1 montant_grille_2 montant_grille_3
1#SEPARATEUR#AAFA001#SEPARATEUR#610.78#SEPARATEUR#EXÉRÈSE T. INTRAPARE#SEPARATEUR#Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie#SEPARATEUR#674.71#SEPARATEUR#674.71#SEPARATEUR#610.78#SEPARATEUR#674.71
2#SEPARATEUR#AAFA002#SEPARATEUR#540.32#SEPARATEUR#EXÉRÈSE T. INTRAPARE#SEPARATEUR#Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie#SEPARATEUR#628.89#SEPARATEUR#628.89#SEPARATEUR#540.32#SEPARATEUR#628.89
3#SEPARATEUR#AAFA003#SEPARATEUR#836.4#SEPARATEUR#EXÉRÈSE LÉS. TR. CÉR#SEPARATEUR#Exérèse de lésion du tronc cérébral, par craniotomie#SEPARATEUR#988.04#SEPARATEUR#988.04#SEPARATEUR#836.4#SEPARATEUR#988.04
4#SEPARATEUR#AAFA004#SEPARATEUR#874.98#SEPARATEUR#HÉMISPHÉRECTOMIE FCT#SEPARATEUR#Hémisphérectomie fonctionnelle, par craniotomie#SEPARATEUR#874.98#SEPARATEUR#874.98#SEPARATEUR#874.98#SEPARATEUR#874.98
5#SEPARATEUR#AAFA005#SEPARATEUR#672.25#SEPARATEUR#EXÉRÈSE LÉS. CORPS C#SEPARATEUR#Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie#SEPARATEUR#705.01#SEPARATEUR#705.01#SEPARATEUR#672.25#SEPARATEUR#705.01
6#SEPARATEUR#AAFA006#SEPARATEUR#418#SEPARATEUR#RÉSEC. PARENCHYME CÉ#SEPARATEUR#Résection de parenchyme cérébral pour infarctus expansif, par craniotomie#SEPARATEUR#418#SEPARATEUR#418#SEPARATEUR#418#SEPARATEUR#418
7#SEPARATEUR#AAFA007#SEPARATEUR#539.03#SEPARATEUR#EXCISION 1ZONE ÉPILE#SEPARATEUR#Excision d'une zone épileptogène, par craniotomie#SEPARATEUR#626.67#SEPARATEUR#626.67#SEPARATEUR#539.03#SEPARATEUR#626.67
8#SEPARATEUR#AAFA008#SEPARATEUR#418#SEPARATEUR#RÉSEC. PARENCHYME CÉ#SEPARATEUR#Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie#SEPARATEUR#418#SEPARATEUR#418#SEPARATEUR#418#SEPARATEUR#418
9#SEPARATEUR#AAGA900#SEPARATEUR#0#SEPARATEUR#ABL. ÉLECTRODE CORTI#SEPARATEUR#Ablation d'électrode corticale cérébrale, par craniotomie#SEPARATEUR#0#SEPARATEUR#0#SEPARATEUR#0#SEPARATEUR#0
10#SEPARATEUR#AAGB001#SEPARATEUR#96.85#SEPARATEUR#ABL. ÉLECTRODE CÉRÉB#SEPARATEUR#Ablation d'électrode intracérébrale#SEPARATEUR#136.72#SEPARATEUR#136.72#SEPARATEUR#96.85#SEPARATEUR#136.72
11#SEPARATEUR#AAJA001#SEPARATEUR#421.66#SEPARATEUR#ÉVAC. COLLECTION CÉR#SEPARATEUR#Évacuation de collection intracérébrale, par craniotomie#SEPARATEUR#545.38#SEPARATEUR#545.38#SEPARATEUR#421.66#SEPARATEUR#545.38
12#SEPARATEUR#AAJA002#SEPARATEUR#290.07#SEPARATEUR#ÉVAC. HÉMATOME CÉRÉB#SEPARATEUR#Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie#SEPARATEUR#318.51#SEPARATEUR#318.51#SEPARATEUR#290.07#SEPARATEUR#318.51
13#SEPARATEUR#AAJA003#SEPARATEUR#418#SEPARATEUR#ÉVAC. HÉMATOME INTRA#SEPARATEUR#Évacuation d'hématome intracérébelleux, par craniotomie#SEPARATEUR#418#SEPARATEUR#418#SEPARATEUR#418#SEPARATEUR#418
14#SEPARATEUR#AAJA004#SEPARATEUR#276.78#SEPARATEUR#ÉVAC. HÉMATOME CÉRÉB#SEPARATEUR#Évacuation d'hématome intracérébral non traumatique, par craniotomie#SEPARATEUR#295.6#SEPARATEUR#295.6#SEPARATEUR#276.78#SEPARATEUR#295.6
15#SEPARATEUR#AAJA005#SEPARATEUR#221.96#SEPARATEUR#ÉVAC. COLLECTION INT#SEPARATEUR#Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente#SEPARATEUR#261.61#SEPARATEUR#261.61#SEPARATEUR#221.96#SEPARATEUR#261.61
16#SEPARATEUR#AAJA006#SEPARATEUR#393.99#SEPARATEUR#PARAGE PLAIE CRANIOC#SEPARATEUR#Parage de plaie craniocérébrale#SEPARATEUR#452.27#SEPARATEUR#452.27#SEPARATEUR#393.99#SEPARATEUR#452.27
17#SEPARATEUR#AAJH001#SEPARATEUR#167.2#SEPARATEUR#ÉVAC. COLLECTION CÉR#SEPARATEUR#Évacuation de collection intracérébrale, par voie transcrânienne avec guidage scanographique#SEPARATEUR#167.2#SEPARATEUR#167.2#SEPARATEUR#167.2#SEPARATEUR#167.2
18#SEPARATEUR#AAJH002#SEPARATEUR#250.8#SEPARATEUR#ÉVAC. HÉMATOME CÉRÉB#SEPARATEUR#Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique#SEPARATEUR#250.8#SEPARATEUR#250.8#SEPARATEUR#250.8#SEPARATEUR#250.8
19#SEPARATEUR#AAJH003#SEPARATEUR#167.2#SEPARATEUR#ÉVAC. COLLECTION CÉR#SEPARATEUR#Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique#SEPARATEUR#167.2#SEPARATEUR#167.2#SEPARATEUR#167.2#SEPARATEUR#167.2
20#SEPARATEUR#AAJH004#SEPARATEUR#250.8#SEPARATEUR#ÉVAC. HÉMATOME CÉRÉB#SEPARATEUR#Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage radiologique#SEPARATEUR#250.8#SEPARATEUR#250.8#SEPARATEUR#250.8#SEPARATEUR#250.8
21#SEPARATEUR#AAKA001#SEPARATEUR#104.5#SEPARATEUR#CHANGT 1GÉNÉRATEUR S#SEPARATEUR#Changement d'un générateur souscutané de stimulation cérébrale#SEPARATEUR#104.5#SEPARATEUR#104.5#SEPARATEUR#104.5#SEPARATEUR#104.5
22#SEPARATEUR#AALA002#SEPARATEUR#280.66#SEPARATEUR#IMPLANT. ÉLECTRODE S#SEPARATEUR#Implantation d'électrode subdurale pour enregistrement électrocorticographique, par craniotomie#SEPARATEUR#280.66#SEPARATEUR#280.66#SEPARATEUR#280.66#SEPARATEUR#280.66
23#SEPARATEUR#AALA004#SEPARATEUR#104.5#SEPARATEUR#IMPLANT. SSCUT 1GÉNÉ#SEPARATEUR#Implantation souscutanée d'un générateur de stimulation cérébrale#SEPARATEUR#104.5#SEPARATEUR#104.5#SEPARATEUR#104.5#SEPARATEUR#104.5
24#SEPARATEUR#AALA900#SEPARATEUR#0#SEPARATEUR#IMPLANT. ÉLECTRODE C#SEPARATEUR#Implantation d'électrode de stimulation corticale cérébrale à visée thérapeutique, par craniotomie#SEPARATEUR#0#SEPARATEUR#0#SEPARATEUR#0#SEPARATEUR#0
25#SEPARATEUR#AALB001#SEPARATEUR#817.12#SEPARATEUR#IMPLANT. ÉLECTRODE C#SEPARATEUR#Implantation d'électrode de stimulation intracérébrale à visée thérapeutique, par voie stéréotaxique#SEPARATEUR#954.79#SEPARATEUR#954.79#SEPARATEUR#817.12#SEPARATEUR#954.79
26#SEPARATEUR#AALB002#SEPARATEUR#627#SEPARATEUR#IMPLANT. ÉLECTRODE C#SEPARATEUR#Implantation d'électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique#SEPARATEUR#627#SEPARATEUR#627#SEPARATEUR#627#SEPARATEUR#627
